src,dst,osm_src,osm_dst,length,highway,maxspeed,lanes,oneway,speed_kph,free_flow_time_s,capacity_vph
1,9144,32927563,4377020523,3562.3677680533897,motorway,40.0,5,True,40,320.6130991248051,9000
2,7584,32927591,315706881,293.5398694523804,motorway_link,,1,True,30,35.224784334285644,1800
2,9546,32927591,6469349533,754.5919261627005,motorway,65.0,4,True,65,41.792783602857256,7200
3,4783,32927645,65331336,1196.6643564425285,motorway,65.0,2,True,65,66.27679512604773,3600
3,7912,32927645,766946830,1176.489347962614,motorway_link,50.0,2,True,50,84.7072330533082,3600
4,8401,33241803,2071244784,20.253490097932914,residential,,1,True,30,2.4304188117519496,1800
4,9731,33241803,9209919063,12.520542415627347,residential,,1,False,30,1.5024650898752814,1800
4,9720,33241803,8865870141,30.790904212578667,primary,30.0,3,True,30,3.69490850550944,5400
5,764,33242031,65292114,75.10765988384587,residential,,1,False,30,9.012919186061504,1800
6,8,54891208,54891397,101.12059596219254,residential,,2,False,30,12.134471515463105,3600
6,7592,54891208,317126597,46.646344749464255,residential,,3,False,30,5.59756136993571,5400
6,7392,54891208,293818036,141.31990219728897,residential,25.0,1,True,25,20.350065916409612,1800
7,8,54891395,54891397,146.51926142632624,residential,,1,False,30,17.582311371159147,1800
7,8397,54891395,1998017252,146.57009764555897,unclassified,,1,False,30,17.588411717467075,1800
7,7982,54891395,984774300,101.33458791416874,unclassified,,2,False,30,12.160150549700248,3600
8,7,54891397,54891395,146.51926142632624,residential,,1,False,30,17.582311371159147,1800
8,7462,54891397,300455591,212.0555321179954,residential,,2,False,30,25.446663854159446,3600
8,6,54891397,54891208,101.12059596219254,residential,,2,False,30,12.134471515463105,3600
8,9538,54891397,6424341847,141.30542305009587,residential,,1,False,30,16.956650766011503,1800
9,7393,54891446,293818041,19.163980427722564,residential,,2,True,30,2.2996776513267077,3600
9,7488,54891446,302034219,100.75302309921491,primary,30.0,2,True,30,12.090362771905788,3600
10,7485,54891461,302034179,108.45347699692358,residential,,1,True,30,13.014417239630829,1800
10,7487,54891461,302034205,104.62502530815779,tertiary,,4,False,40,9.416252277734202,7200
10,11,54891461,54891483,47.538612335862084,tertiary,,4,False,40,4.278475110227587,7200
11,10,54891483,54891461,47.538612335862084,tertiary,,4,False,40,4.278475110227587,7200
11,12,54891483,54891501,205.42594656296825,tertiary,,4,False,40,18.488335190667144,7200
12,13,54891501,54891569,113.39748200658045,residential,,4,False,30,13.607697840789653,7200
12,11,54891501,54891483,205.42594656296825,tertiary,,4,False,40,18.488335190667144,7200
12,8638,54891501,2922128566,213.0145745315783,tertiary,,4,False,40,19.171311707842047,7200
13,12,54891569,54891501,113.39748200658045,residential,,4,False,30,13.607697840789653,7200
13,157,54891569,65283387,206.74624717302353,residential,,1,False,30,24.809549660762823,1800
13,7489,54891569,302034224,138.80144776501118,residential,,4,False,30,16.65617373180134,7200
14,15,65279851,65279852,147.02601703612518,residential,,1,True,30,17.64312204433502,1800
14,1356,65279851,65296808,52.16057545631386,residential,25.0,1,False,25,7.511122865709195,1800
14,2017,65279851,65303257,53.629574348760016,residential,25.0,1,False,25,7.722658706221442,1800
15,1357,65279852,65296810,53.76463995862862,residential,,1,False,30,6.451756795035434,1800
15,2018,65279852,65303259,52.59230340158762,residential,,1,False,30,6.311076408190514,1800
16,17,65279860,65279862,74.13075936831397,residential,,1,False,30,8.895691124197675,1800
17,16,65279862,65279860,74.13075936831397,residential,,1,False,30,8.895691124197675,1800
17,801,65279862,65292354,204.34998121231664,residential,,1,False,30,24.521997745477993,1800
17,7966,65279862,830559310,127.97129467983844,residential,,1,False,30,15.356555361580611,1800
18,804,65279877,65292362,191.9497429274776,residential,,1,False,30,23.03396915129731,1800
19,805,65279891,65292364,280.7431260387837,residential,,1,False,30,33.68917512465404,1800
19,806,65279891,65292366,200.5274432856654,residential,,1,False,30,24.063293194279847,1800
19,20,65279891,65279893,86.43818696938379,residential,,1,False,30,10.372582436326054,1800
