idx,osm_idx,lat,lon
173,42427168,40.847838,-73.939524
174,42427185,40.8499781,-73.9386594
175,42427236,40.7116883,-74.0058474
176,42427242,40.710185,-74.0042501
177,42427249,40.706993,-74.0064696
178,42427251,40.706375,-74.005691
179,42427254,40.7059869,-74.0052181
180,42427256,40.7054111,-74.0044746
181,42427278,40.7136499,-74.0036256
182,42427300,40.7151767,-74.0021357
183,42427305,40.7157471,-74.0016907
184,42427307,40.71693,-74.000818
185,42427311,40.717619,-74.000274
186,42427316,40.718016,-73.9999554
187,42427319,40.7186723,-73.9994292
188,42427322,40.718913,-73.999234
189,42427324,40.7198029,-73.9985112
190,42427327,40.720836,-73.997655
191,42427335,40.7152208,-73.9842477
192,42427337,40.7161195,-73.9836154
193,42427340,40.7166958,-73.983385
194,42427345,40.7171801,-73.9831245
195,42427346,40.7183028,-73.9825031
196,42427352,40.7194648,-73.981919
197,42427358,40.7206493,-73.9813183
198,42427369,40.739673,-73.990945
199,42427371,40.741031,-73.994165
200,42427374,40.742228,-73.997007
201,42427381,40.7434266,-73.9998517
202,42427386,40.7446399,-74.0027323
203,42427390,40.745816,-74.005535
204,42427393,40.746795,-74.0078599
205,42427411,40.708134,-74.016626
206,42427412,40.708457,-74.017398
207,42427423,40.7435682,-73.9923179
208,42427426,40.744765,-73.9951595
209,42427427,40.7459612,-73.998
210,42427477,40.7471747,-74.0008813
211,42427483,40.748355,-74.003684
212,42427494,40.7502561,-74.0082754
213,42427519,40.812316,-73.952228
214,42427523,40.81294,-73.95177
215,42427531,40.813567,-73.951322
216,42427538,40.814187,-73.95086
217,42427649,40.8179231,-73.9497399
218,42427735,40.821487,-73.948541
219,42427742,40.7142522,-73.9808919
220,42427744,40.7135643,-73.9808565
221,42427747,40.7122116,-73.9807114
222,42427750,40.7115207,-73.9806225
223,42427762,40.763659,-73.973465
224,42427764,40.7639334,-73.974111
225,42427786,40.745301,-73.986846
226,42427787,40.7460463,-73.9886202
227,42427797,40.746659,-73.990067
228,42427805,40.7478553,-73.9929106
229,42427812,40.7490521,-73.9957492
230,42427817,40.7502567,-73.998626
231,42427821,40.7514485,-74.0014254
232,42427824,40.7526457,-74.0042703
233,42427828,40.75379,-74.0070337
234,42427834,40.8134264,-73.9371368
235,42427881,40.8272063,-73.9424535
236,42427883,40.827823,-73.941997
237,42427888,40.828447,-73.94154
238,42427891,40.829083,-73.941078
239,42427894,40.830292,-73.9402243
240,42427915,40.7820374,-73.9717336
241,42427956,40.7045078,-74.009424
242,42427965,40.759913,-73.958809
243,42427968,40.7605433,-73.9583477
244,42427970,40.7611623,-73.9579282
245,42427972,40.7617963,-73.9574532
246,42427975,40.7624221,-73.9569952
247,42427979,40.7630478,-73.9565374
248,42427985,40.7636674,-73.956084
249,42427991,40.7642963,-73.9556238
250,42427996,40.7649208,-73.9551668
251,42428003,40.765554,-73.9547034
252,42428005,40.7661805,-73.9542449
253,42428007,40.7668593,-73.9537482
254,42428010,40.7675414,-73.953249
255,42428012,40.7681847,-73.9527843
256,42428013,40.7688236,-73.9523229
257,42428014,40.7694634,-73.9518607
258,42428015,40.7700762,-73.9514149
259,42428016,40.7707103,-73.9509381
260,42428020,40.7714021,-73.9504368
261,42428022,40.7720657,-73.9499424
262,42428024,40.7726941,-73.9494862
263,42428027,40.773343,-73.9490092
264,42428029,40.7739762,-73.9485506
265,42428032,40.7746141,-73.9480817
266,42428034,40.7752458,-73.9476241
267,42428037,40.775929,-73.947122
268,42428039,40.7766012,-73.9466301
269,42428043,40.7772273,-73.9461727
270,42428045,40.7778572,-73.9457131
271,42428047,40.7784828,-73.9452574
272,42428049,40.779146,-73.9447758
273,42428052,40.7797706,-73.9443355
274,42428061,40.7812798,-73.9759984
275,42428063,40.7824641,-73.9788209
276,42428065,40.7832069,-73.9805809
277,42428068,40.7836714,-73.9816869
278,42428072,40.784357,-73.9833075
279,42428080,40.8474237,-73.9313827
280,42428082,40.848038,-73.932849
